"","id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","keywords","language","date","location","location_type","currency","currency_symbol","status","page_count","dish_count","lat","lng"
"43",12804,"","UNION LEAGUE CLUB","CARTE DU JOUR","SOC;","[NEW YORK, NY]","CARD; 6.5X10.0;","","","1900-2685",NA,NA,"1900-04-07","Union League Club",NA,"Dollars","$","complete",2,171,40.7489557,-73.9803779
"44",12805,"","(UNION LEAGUE CLUB)","TABLE D'HOTE DINNER","SOC;","[NEW YORK, NY]","CARD; 5.5X7.0;","","INITIALS ""ULC"" IN PALE BLUE;","1900-2686",NA,NA,"1900-04-07","Union League Club",NA,"","","complete",2,17,40.7489557,-73.9803779
"45",12806,"","SHERIDAN SQUARE HOTEL","[DINNER]","COMMERCIAL","NEW YORK, [NY];","BROADSIDE; 5.25X7.5;","","LOGO OF HOTEL IN RED;","1900-2687",NA,NA,"1900-04-07","Sheridan Square Hotel",NA,"","","complete",2,32,40.7563598,-73.9923993
"46",12807,"","MILLS HOTEL RESTAURANT","BILL OF FARE/DINNER","COMMERCIAL","BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];","BROADSHEET; 3.75X6.0;","","REGULAR DINNER: 15 CENTS: SOUP, ONE MEAT DISH, TWO VEGETABLES, DESSERT, TEA, COFFEE OR MILK;","1900-2688",NA,NA,"1900-04-07","Mills Hotel Restaurant",NA,"Dollars","$","complete",2,21,40.731176,-74.540158
"47",12808,"","BROADWAY CENTRAL HOTEL","DINNER","COMMERCIAL","NOS. 667 TO 677 [BROADWAY], OPPOSITE BOND STREET, MIDWAY BETWEEN BATTERY AND CENTRAL PARK, NEW YORK, [NY];","FOLDER; ILLUS; COL; 5.5X9.0;","","ILLUS, ENGRAVING OF HOTEL ON COVER; MENU ON BACK PAGE; INNER PAGES HAVE A BIRD'E EYE MAP OF NEW YORK SHOWING ALL STEAMER DOCKS, FERRIES, ELEVATED AND CABLE ROADS, AND ALL CROSS TOWN ROADS; OBJECTS OF INTEREST IN AND ABOUT NEW YORK LISTED;","1900-2690",NA,NA,"1900-04-07","Broadway Central Hotel",NA,"","","complete",4,65,40.76442,-73.982675
"48",12815,"","CENTRAL RESTAURANT","MENU","COMMERCIAL","NEW YORK, NY","FOLDER; 6.75X10;","","A LA CARTE MENU; [DATE HANDWRITTEN]; LOCATION 142 LIBERTY ST, SO IT IS MORE THAN LIKELY NEW YORK CITY; ALL SPECIAL ITEMS HANDWRITTEN; PRICED WINE LIST ON BACK;","1900-2975",NA,NA,"1900-04-26","Central Restaurant",NA,"Dollars","$","complete",4,191,40.741583,-74.170593
"49",12816,"","(MR. THOMAS HASTINGS)","[FAREWELL DINNER GIVEN BY MR. THOMAS HASTINGS BEFORE HIS MARRIAGE TO MISS HELEN BENEDICT]","OTHER (PRIVATE PARTY WITH INDIVIDUAL HOST);","SHERRY'S, NEW YORK, NY","CARD; ILLUS; 4.5X7;","COMPLIMENTARY/TESTIMONIAL","FRENCH; HOST'S MONOGRAM AT TOP OF MENU; BEAUTIFULLY HANDSCRIPTED; [SPONSOR, EVENT INFO SUPPLIED BY FEB, INCLUDING ""PRESENTED BY DR. BILLINGS WHO WAS PRESENT];","1900-2976",NA,NA,"1900-04-26","Mr. Thomas Hastings",NA,"","","complete",2,19,0,0
"50",12817,"","CENTRAL RESTAURANT & ROOF GARDEN","BUSINESS MEN'S LUNCH","COMMERCIAL","NEW YORK, NY","CARD; ILLUS; 4.5X5.75;","","TABLE D'HOTE LUNCH -- 35 CENTS; RESTAURANT MONOGRAM IN WREATH;","1900-2979",NA,NA,"1900-04-26","Central Restaurant & Roof Garden",NA,"","","complete",2,11,40.741583,-74.170593
"51",12818,"","CENTRAL RESTAURANT & ROOF GARDEN","TABLE D'HOTE DINNER","COMMERCIAL","NEW YORK, NY","CARD; ILLUS; 4.5X5.75;","","TABLE D'HOTE DINNER -- 50 CENTS; PRICED WINE LIST ON BACK OF MENU;","1900-2981",NA,NA,"1900-04-26","Central Restaurant & Roof Garden",NA,"Dollars","$","under review",2,89,40.741583,-74.170593
"52",12819,"","CENTRAL RESTAURANT CO.","MENU","COMMERCIAL","NEW YORK, NY","BOOKLET; ILLUS; 6X9.5;","","PRICED MENU; INCLUDES ""DINNER READY TO SERVE"" MENU; PRICED WINE CARD ON BACK OF MENU;","1900-2982",NA,NA,"1900-04-26","Central Restaurant Co.",NA,"Dollars","$","complete",6,298,40.7574284,-73.9703792
"53",12824,"","HARLEM REPUBLICAN CLUB","11NTH ANNUAL BANQUET","POL;","MANHATTAN HOTEL, NY","FOLDER; 5 X 6.5;","78TH BIRTHDAY OF U.S.GRANT","LIST OF WINES SERVED; PROGRAM INCLUDED & LIST OF COMMITTEE MEMBERS;","1900-3004",NA,NA,"1900-04-27","Harlem Republican Club",NA,"","","complete",4,28,40.81762,-73.946523
"54",12831,"","MANHATTAN HOTEL","DINNER","COMMERCIAL","42ND ST. & MAD. AVE, NY","BROADSIDE; ILLUS; 6 X 9.75","DAILY","","1900-2203",NA,NA,"1900-03-01","Manhattan Hotel",NA,"Dollars","$","complete",2,176,40.7622311,-73.9829525
"55",12837,"","MANHATTAN HOTEL","LUNCHEON","COMMERCIAL","MADISON AVE. & 42 ST. NY","BROADSIDE; ILLUS; 6 X 9.5;","DAILY;","","1900-2219",NA,NA,"1900-03-01","Manhattan Hotel",NA,"Dollars","$","complete",2,129,40.7622311,-73.9829525
"56",12838,"","HOTEL MARLBOROUGH","DINNER","COMMERCIAL","[BROADWAY AND 36TH ST,NEW YORK,NY]","CARD;ILL;COL;4.25X7;","DAILY;","COAT OF ARMS IN UPPER LEFT;","1900-2220",NA,NA,"1900-03-01","Hotel Marlborough",NA,"Dollars","$","complete",2,44,40.7326143,-73.9967972
"57",12839,"","HOTEL MARLBOROUGH","DINNER","COMMERCIAL","BROADWAY AND 36TH AND 37TH ST,NEW YORK,NY","FOLDER;ILL;COL;5.5X8.5;","DAILY;","PRICED WINE LIST;COAT OF ARMS;HOTEL PICTURED ON BACK COVER;","1900-2221",NA,NA,"1900-03-01","Hotel Marlborough",NA,"Dollars","$","complete",4,184,40.7326143,-73.9967972
"58",12840,"","HOTEL MARLBOROUGH","SUPPER","COMMERCIAL","[66 STREET AND BROADWAY,NEW YORK,NY]","CARD;ILL;COL;7X11;","DAILY;","COAT OF ARMS;DATE HANDWRITTEN BY FB;","1900-2225",NA,NA,"1900-03-02","Hotel Marlborough",NA,"Dollars","$","complete",2,235,40.7326143,-73.9967972
"59",12841,"","HOTEL MARLBOROUGH","BREAKFAST","COMMERCIAL","[66 STREET AND BROADWAY,NEW YORK,NY]","CARD;ILL;COL;7X11;","DAILY;","COAT OF ARMS;DATE HANDWRITTEN BY FB;","1900-2226",NA,NA,"1900-03-02","Hotel Marlborough",NA,"Dollars","$","complete",2,317,40.7326143,-73.9967972
"60",12842,"","HOTEL MARLBOROUGH","DAILY CARTE DU JOUR","COMMERCIAL","[66TH STREET AND BROADWAY,NEW YORK,NY]","CARD;ILL;COL;7X13;","","HANDWRITTEN DATE,CARTE DU JOUR;","1900-2230",NA,NA,"1900-03-02","Hotel Marlborough",NA,"Dollars","$","complete",2,377,40.7326143,-73.9967972
"61",12855,"","BROADWAY CENTRAL HOTEL","LUNCHEON","COMMERCIAL","BROADWAY, NY","CARD; 5.5 X 8.25;","","LOGO;","1900-2439",NA,NA,"1900-03-14","Broadway Central Hotel",NA,"","","complete",2,53,40.76442,-73.982675
"62",12856,"","BROADWAY CENTRAL HOTEL","DINNER","COMMERCIAL","BROADWAY, NY","FOLDER; ILLUS; 5.5 X 8.75;","","DRAWING OF HOTEL ON COVER; MAP OF NEW YORK CITY AND TOURIST INFORMATION;","1900-2440",NA,NA,"1900-03-14","Broadway Central Hotel",NA,"","","complete",4,63,40.76442,-73.982675
"63",12858,"","HOTEL WASHINGTON","DAILY MENU","COMMERCIAL","JERSEY CITY, NY","FOLDER; 7 X 11;","","PRICED MENU; PRICED WINE LIST; HANDWRITTEN INSERT","1900-2445",NA,NA,"1900-03-14","Hotel Washington",NA,"Dollars","$","complete",4,253,40.7325,-73.998692
"64",12864,"","SAVOY HOTEL","TABLE d'HOTE DINNER","COMMERCIAL","59 ST. & 5TH AVE. NY","BROADSIDE; ILLUS; COL; 5.5 X 7.5;","","","1900-2460",NA,NA,"1900-03-14","Savoy Hotel",NA,"","","complete",2,34,40.7657507,-73.9786867
"65",12865,"","PARK AVE. HOTEL","LUNCHEON,BILL OF FARE","COMMERCIAL","NY","BROADSIDE; HOTEL EMBLEM; COL; 4.5 X 7;","DAILY","HOURS LISTED FOR FULL LUNCH;","1900-2461",NA,NA,"1900-03-14","Park Ave. Hotel",NA,"","","complete",2,47,40.7441347,-73.9832507
"66",12867,"","HOTEL SAVOY","LUNCHEON TABLE D'HOTE","COMMERCIAL","FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]","CARD; 6.25X9.25","","PRINTED IN GREEN; HOTEL LOGO IN GREEN;","1900-2694",NA,NA,"1900-04-07","Hotel Savoy",NA,"","","complete",2,54,40.7657507,-73.9786867
"67",12868,"","HOTEL SAVOY","LUNCHEON A LA CARTE","COMMERCIAL","FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]","CARD; 6.25X9.25","","PRINTED IN GREEN; HOTEL LOGO IN GREEN;","1900-2695",NA,NA,"1900-04-07","Hotel Savoy",NA,"Dollars","$","complete",2,122,40.7657507,-73.9786867
"68",12869,"","HOTEL SAVOY","DINNER TABLE D'HOTE","COMMERCIAL","FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]","CARD; 6.25X9.25","","PRINTED IN GREEN; HOTEL LOGO IN GREEN;","1900-2696",NA,NA,"1900-04-07","Hotel Savoy",NA,"Dollars","$","complete",2,58,40.7657507,-73.9786867
"69",12870,"","HOTEL SAVOY","CAFE DINNER TABLE D'HOTE","COMMERCIAL","FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]","CARD; 5.5X7.25;","","PRINTED IN GREEN; HOTEL LOGO IN GREEN;","1900-2697",NA,NA,"1900-04-07","Hotel Savoy",NA,"Dollars","$","complete",2,34,40.7657507,-73.9786867
"70",12871,"","NEW YORK ATHLETIC CLUB","CARTE DU JOUR","SOC;","[NEW YORK, NY]","CARD; 6.75X11.0;","","CLUB LOGO ""THE WINGED FOOT"" IN RED;","1900-2698",NA,NA,"1900-04-07","New York Athletic Club",NA,"Dollars","$","complete",2,170,40.7666561,-73.9788171
"71",12874,"","COLONIAL CLUB OF NEW YORK","CARTE DU JOUR","SOC;","NEW YORK, [NY]","CARD; 6.25X9.5;","","","1900-2702",NA,NA,"1900-04-07","Colonial Club Of New York",NA,"Dollars","$","complete",2,118,40.7650487,-73.9686371
"72",12875,"","PARK AVENUE HOTEL","TABLE D'HOTE DINNER","COMMERCIAL","NEW YORK, [NY]","CARD; 4.25X7.0;","","FROM 12:00 TO 2:30 AND FROM 5:30 TO 8:00 PM; HOTEL LOGO IN PINK;","1900-2705",NA,NA,"1900-04-07","Park Avenue Hotel",NA,"Dollars","$","complete",2,17,40.7498972,-73.9797165
"73",12879,"","HAMBLEN'S RESTAURANT & LUNCH ROOMS","MENU","COMMERCIAL","NEW YORK, NY","FOLDER; ILLUS; 6X9.5;","","PRICED MENU; DECORATIVE BORDER; [DATE SUPPLIED BY FEB]; SPECIAL ITEMS WRITTEN IN LAVENDAR INK & THEN PRINTED; SUPPLIER'S ADS ON BACK PAGE;","1900-2720",NA,NA,"1900-04-07","Hamblen's Restaurant & Lunch Rooms",NA,"Dollars","$","complete",4,199,40.8059518,-73.9657435
"74",12880,"","(MANHATTAN CLUB)","MENU","[SOC?];","[NEW YORK, NY?]","FOLDER; 6X9.5;","","MONOGRAM ""MC"" ON COVER; INSIDE MENU ""MANHATTANCLUB"" IS HANDWRITTEN; PRICED MENU;","1900-2733",NA,NA,"1900-04-08","Manhattan Club",NA,"Dollars","$","complete",4,278,40.7648089,-73.9812315
